timestamp,object_x,object_y,contour_area
2026-09-05-20-29-39.047956,179,99,71087.5
2026-09-05-20-29-39.079676,180,100,71576.0
2026-09-05-20-29-39.116904,179,100,71614.5
2026-09-05-20-29-39.150739,180,100,71710.0
2026-09-05-20-29-39.182280,181,101,72590.5
2026-09-05-20-29-39.216044,181,101,73108.0
2026-09-05-20-29-39.248513,349,320,74445.5
2026-09-05-20-29-39.276909,350,319,77356.0
2026-09-05-20-29-39.315686,351,318,79716.0
2026-09-05-20-29-39.360520,351,317,81464.0
2026-09-05-20-29-39.387739,351,316,82714.5
2026-09-05-20-29-39.418483,273,215,158655.0
2026-09-05-20-29-39.453191,273,216,159575.0
2026-09-05-20-29-39.487135,353,315,85988.5
2026-09-05-20-29-39.520106,275,216,161600.5
2026-09-05-20-29-39.556390,354,315,86965.0
2026-09-05-20-29-39.588116,276,217,163071.5
2026-09-05-20-29-39.615130,276,217,163678.0
2026-09-05-20-29-39.647581,276,217,164855.5
2026-09-05-20-29-39.696478,277,217,165867.0
2026-09-05-20-29-39.723465,278,216,168234.0
2026-09-05-20-29-39.765213,278,215,169468.0
2026-09-05-20-29-39.798464,356,314,80795.0
2026-09-05-20-29-39.827520,356,314,80795.0
2026-09-05-20-29-39.862273,353,314,77947.5
2026-09-05-20-29-39.894340,353,314,77947.5
2026-09-05-20-29-39.935344,350,314,75129.5
2026-09-05-20-29-39.974516,345,313,71657.0
2026-09-05-20-29-40.003600,345,313,71657.0
2026-09-05-20-29-40.034935,177,99,69801.0
2026-09-05-20-29-40.066854,177,99,69801.0
2026-09-05-20-29-40.101823,177,99,69601.5
2026-09-05-20-29-40.134499,177,99,69601.5
2026-09-05-20-29-40.175203,176,98,69218.0
2026-09-05-20-29-40.206571,177,99,69930.0
2026-09-05-20-29-40.238875,177,99,69930.0
2026-09-05-20-29-40.272440,178,99,70268.5
2026-09-05-20-29-40.311214,178,99,70268.5
2026-09-05-20-29-40.348921,179,99,70786.5
2026-09-05-20-29-40.377424,179,99,70786.5
2026-09-05-20-29-40.411478,179,99,71256.5
2026-09-05-20-29-40.448912,179,99,71143.5
2026-09-05-20-29-40.474034,179,99,71143.5
2026-09-05-20-29-40.515013,180,99,71411.5
2026-09-05-20-29-40.539036,180,99,71411.5
2026-09-05-20-29-40.581696,180,99,71389.0
2026-09-05-20-29-40.624349,180,99,71389.0
2026-09-05-20-29-40.656342,179,99,71097.5
2026-09-05-20-29-40.688338,179,99,71097.5
2026-09-05-20-29-40.724135,166,175,99285.5
2026-09-05-20-29-40.763825,166,175,99285.5
2026-09-05-20-29-40.798886,165,177,99049.5
2026-09-05-20-29-40.825948,164,178,99120.5
2026-09-05-20-29-40.858027,164,178,99120.5
2026-09-05-20-29-40.897545,175,97,68862.5
2026-09-05-20-29-40.927586,175,97,68862.5
2026-09-05-20-29-40.960629,173,96,68136.0
2026-09-05-20-29-40.998282,173,96,68136.0
2026-09-05-20-29-41.029150,174,96,68394.5
2026-09-05-20-29-41.064966,174,96,68394.5
2026-09-05-20-29-41.096837,210,215,126491.5
2026-09-05-20-29-41.134636,210,215,126491.5
2026-09-05-20-29-41.165852,172,186,111250.0
2026-09-05-20-29-41.202581,253,210,148496.5
2026-09-05-20-29-41.235417,253,210,148496.5
2026-09-05-20-29-41.266738,263,215,161566.5
2026-09-05-20-29-41.296267,263,215,161566.5
2026-09-05-20-29-41.334424,270,219,172041.5
2026-09-05-20-29-41.376286,270,219,172041.5
2026-09-05-20-29-41.392259,275,223,179795.0
2026-09-05-20-29-41.439075,275,223,179795.0
2026-09-05-20-29-41.471884,279,227,186183.5
2026-09-05-20-29-41.504447,283,229,191200.5
2026-09-05-20-29-41.529489,283,229,191200.5
2026-09-05-20-29-41.574191,285,232,195387.0
2026-09-05-20-29-41.607701,285,232,195387.0
2026-09-05-20-29-41.638862,287,234,198264.0
2026-09-05-20-29-41.677473,287,234,198264.0
2026-09-05-20-29-41.712246,289,236,201194.5
2026-09-05-20-29-41.744243,290,237,202882.5
2026-09-05-20-29-41.776240,290,237,202882.5
2026-09-05-20-29-41.816751,290,238,204639.5
2026-09-05-20-29-41.847639,290,238,204639.5
2026-09-05-20-29-41.879001,291,238,204954.0
2026-09-05-20-29-41.915605,291,238,204954.0
2026-09-05-20-29-41.948305,291,239,205015.5
2026-09-05-20-29-41.979825,291,239,205015.5
2026-09-05-20-29-42.012129,291,239,204971.0
2026-09-05-20-29-42.051752,291,239,204443.0
2026-09-05-20-29-42.077098,291,239,204443.0
2026-09-05-20-29-42.112726,291,239,204959.0
2026-09-05-20-29-42.149728,291,239,204959.0
2026-09-05-20-29-42.181462,291,238,208075.0
2026-09-05-20-29-42.214793,291,238,208075.0
2026-09-05-20-29-42.248145,292,238,209849.5
2026-09-05-20-29-42.285628,292,238,209849.5
2026-09-05-20-29-42.316759,292,237,211272.5
2026-09-05-20-29-42.357566,292,237,211272.5
2026-09-05-20-29-42.383504,292,237,211800.0
2026-09-05-20-29-42.429030,293,237,212454.0
2026-09-05-20-29-42.455642,293,237,212454.0
2026-09-05-20-29-42.486461,293,237,213344.5
2026-09-05-20-29-42.518724,293,237,213344.5
2026-09-05-20-29-42.560126,293,237,213801.5
2026-09-05-20-29-42.592119,293,237,213801.5
2026-09-05-20-29-42.624120,294,238,215344.0
2026-09-05-20-29-42.672110,295,238,215818.0
2026-09-05-20-29-42.733435,295,238,215840.0
2026-09-05-20-29-42.749754,295,238,215840.0
2026-09-05-20-29-42.798074,295,238,215732.5
